,icd9,ccs_level_3,ccs_level_3_description,ccs_level_1,ccs_level_1_description
1,1000,1,Tuberculosis,1,Infectious and parasitic diseases
2,1001,1,Tuberculosis,1,Infectious and parasitic diseases
3,1002,1,Tuberculosis,1,Infectious and parasitic diseases
4,1003,1,Tuberculosis,1,Infectious and parasitic diseases
5,1004,1,Tuberculosis,1,Infectious and parasitic diseases
6,1005,1,Tuberculosis,1,Infectious and parasitic diseases
7,1006,1,Tuberculosis,1,Infectious and parasitic diseases
8,1010,1,Tuberculosis,1,Infectious and parasitic diseases
9,1011,1,Tuberculosis,1,Infectious and parasitic diseases
10,1012,1,Tuberculosis,1,Infectious and parasitic diseases
11,1013,1,Tuberculosis,1,Infectious and parasitic diseases
12,1014,1,Tuberculosis,1,Infectious and parasitic diseases
13,1015,1,Tuberculosis,1,Infectious and parasitic diseases
14,1016,1,Tuberculosis,1,Infectious and parasitic diseases
15,1080,1,Tuberculosis,1,Infectious and parasitic diseases
16,1081,1,Tuberculosis,1,Infectious and parasitic diseases
17,1082,1,Tuberculosis,1,Infectious and parasitic diseases
18,1083,1,Tuberculosis,1,Infectious and parasitic diseases
19,1084,1,Tuberculosis,1,Infectious and parasitic diseases
20,1085,1,Tuberculosis,1,Infectious and parasitic diseases
21,1086,1,Tuberculosis,1,Infectious and parasitic diseases
22,1090,1,Tuberculosis,1,Infectious and parasitic diseases
23,1091,1,Tuberculosis,1,Infectious and parasitic diseases
24,1092,1,Tuberculosis,1,Infectious and parasitic diseases
25,1093,1,Tuberculosis,1,Infectious and parasitic diseases
26,1094,1,Tuberculosis,1,Infectious and parasitic diseases
27,1095,1,Tuberculosis,1,Infectious and parasitic diseases
28,1096,1,Tuberculosis,1,Infectious and parasitic diseases
29,1100,1,Tuberculosis,1,Infectious and parasitic diseases
30,1101,1,Tuberculosis,1,Infectious and parasitic diseases
31,1102,1,Tuberculosis,1,Infectious and parasitic diseases
32,1103,1,Tuberculosis,1,Infectious and parasitic diseases
33,1104,1,Tuberculosis,1,Infectious and parasitic diseases
34,1105,1,Tuberculosis,1,Infectious and parasitic diseases
35,1106,1,Tuberculosis,1,Infectious and parasitic diseases
36,1110,1,Tuberculosis,1,Infectious and parasitic diseases
37,1111,1,Tuberculosis,1,Infectious and parasitic diseases
38,1112,1,Tuberculosis,1,Infectious and parasitic diseases
39,1113,1,Tuberculosis,1,Infectious and parasitic diseases
40,1114,1,Tuberculosis,1,Infectious and parasitic diseases
41,1115,1,Tuberculosis,1,Infectious and parasitic diseases
42,1116,1,Tuberculosis,1,Infectious and parasitic diseases
43,1120,1,Tuberculosis,1,Infectious and parasitic diseases
44,1121,1,Tuberculosis,1,Infectious and parasitic diseases
45,1122,1,Tuberculosis,1,Infectious and parasitic diseases
46,1123,1,Tuberculosis,1,Infectious and parasitic diseases
47,1124,1,Tuberculosis,1,Infectious and parasitic diseases
48,1125,1,Tuberculosis,1,Infectious and parasitic diseases
49,1126,1,Tuberculosis,1,Infectious and parasitic diseases
50,1130,1,Tuberculosis,1,Infectious and parasitic diseases
51,1131,1,Tuberculosis,1,Infectious and parasitic diseases
52,1132,1,Tuberculosis,1,Infectious and parasitic diseases
53,1133,1,Tuberculosis,1,Infectious and parasitic diseases
54,1134,1,Tuberculosis,1,Infectious and parasitic diseases
55,1135,1,Tuberculosis,1,Infectious and parasitic diseases
56,1136,1,Tuberculosis,1,Infectious and parasitic diseases
57,1140,1,Tuberculosis,1,Infectious and parasitic diseases
58,1141,1,Tuberculosis,1,Infectious and parasitic diseases
59,1142,1,Tuberculosis,1,Infectious and parasitic diseases
60,1143,1,Tuberculosis,1,Infectious and parasitic diseases
61,1144,1,Tuberculosis,1,Infectious and parasitic diseases
62,1145,1,Tuberculosis,1,Infectious and parasitic diseases
63,1146,1,Tuberculosis,1,Infectious and parasitic diseases
64,1150,1,Tuberculosis,1,Infectious and parasitic diseases
65,1151,1,Tuberculosis,1,Infectious and parasitic diseases
66,1152,1,Tuberculosis,1,Infectious and parasitic diseases
67,1153,1,Tuberculosis,1,Infectious and parasitic diseases
68,1154,1,Tuberculosis,1,Infectious and parasitic diseases
69,1155,1,Tuberculosis,1,Infectious and parasitic diseases
70,1156,1,Tuberculosis,1,Infectious and parasitic diseases
71,1160,1,Tuberculosis,1,Infectious and parasitic diseases
72,1161,1,Tuberculosis,1,Infectious and parasitic diseases
73,1162,1,Tuberculosis,1,Infectious and parasitic diseases
74,1163,1,Tuberculosis,1,Infectious and parasitic diseases
75,1164,1,Tuberculosis,1,Infectious and parasitic diseases
76,1165,1,Tuberculosis,1,Infectious and parasitic diseases
77,1166,1,Tuberculosis,1,Infectious and parasitic diseases
78,1170,1,Tuberculosis,1,Infectious and parasitic diseases
79,1171,1,Tuberculosis,1,Infectious and parasitic diseases
80,1172,1,Tuberculosis,1,Infectious and parasitic diseases
81,1173,1,Tuberculosis,1,Infectious and parasitic diseases
82,1174,1,Tuberculosis,1,Infectious and parasitic diseases
83,1175,1,Tuberculosis,1,Infectious and parasitic diseases
84,1176,1,Tuberculosis,1,Infectious and parasitic diseases
85,1180,1,Tuberculosis,1,Infectious and parasitic diseases
86,1181,1,Tuberculosis,1,Infectious and parasitic diseases
87,1182,1,Tuberculosis,1,Infectious and parasitic diseases
88,1183,1,Tuberculosis,1,Infectious and parasitic diseases
89,1184,1,Tuberculosis,1,Infectious and parasitic diseases
90,1185,1,Tuberculosis,1,Infectious and parasitic diseases
91,1186,1,Tuberculosis,1,Infectious and parasitic diseases
92,1190,1,Tuberculosis,1,Infectious and parasitic diseases
93,1191,1,Tuberculosis,1,Infectious and parasitic diseases
94,1192,1,Tuberculosis,1,Infectious and parasitic diseases
95,1193,1,Tuberculosis,1,Infectious and parasitic diseases
96,1194,1,Tuberculosis,1,Infectious and parasitic diseases
97,1195,1,Tuberculosis,1,Infectious and parasitic diseases
98,1196,1,Tuberculosis,1,Infectious and parasitic diseases
99,1200,1,Tuberculosis,1,Infectious and parasitic diseases
100,1201,1,Tuberculosis,1,Infectious and parasitic diseases
101,1202,1,Tuberculosis,1,Infectious and parasitic diseases
102,1203,1,Tuberculosis,1,Infectious and parasitic diseases
103,1204,1,Tuberculosis,1,Infectious and parasitic diseases
104,1205,1,Tuberculosis,1,Infectious and parasitic diseases
105,1206,1,Tuberculosis,1,Infectious and parasitic diseases
106,1210,1,Tuberculosis,1,Infectious and parasitic diseases
107,1211,1,Tuberculosis,1,Infectious and parasitic diseases
108,1212,1,Tuberculosis,1,Infectious and parasitic diseases
109,1213,1,Tuberculosis,1,Infectious and parasitic diseases
110,1214,1,Tuberculosis,1,Infectious and parasitic diseases
111,1215,1,Tuberculosis,1,Infectious and parasitic diseases
112,1216,1,Tuberculosis,1,Infectious and parasitic diseases
113,1220,1,Tuberculosis,1,Infectious and parasitic diseases
114,1221,1,Tuberculosis,1,Infectious and parasitic diseases
115,1222,1,Tuberculosis,1,Infectious and parasitic diseases
116,1223,1,Tuberculosis,1,Infectious and parasitic diseases
117,1224,1,Tuberculosis,1,Infectious and parasitic diseases
118,1225,1,Tuberculosis,1,Infectious and parasitic diseases
119,1226,1,Tuberculosis,1,Infectious and parasitic diseases
120,1230,1,Tuberculosis,1,Infectious and parasitic diseases
121,1231,1,Tuberculosis,1,Infectious and parasitic diseases
122,1232,1,Tuberculosis,1,Infectious and parasitic diseases
123,1233,1,Tuberculosis,1,Infectious and parasitic diseases
124,1234,1,Tuberculosis,1,Infectious and parasitic diseases
