code,name,state,coastal_storm_state
1,Alabama,1,1
2,Alaska,1,0
3,Arizona,1,0
4,Arkansas,1,1
5,California,1,0
6,Colorado,1,0
7,Connecticut,1,1
8,Delaware,1,1
9,District of Columbia,1,1
10,Florida,1,1
11,Georgia,1,1
12,Hawaii,1,0
13,Idaho,1,0
14,Illinois,1,1
15,Indiana,1,1
16,Iowa,1,1
17,Kansas,1,1
18,Kentucky,1,1
19,Louisiana,1,1
20,Maine,1,1
21,Maryland,1,1
22,Massachusetts,1,1
23,Michigan,1,1
24,Minnesota,1,0
25,Mississippi,1,1
26,Missouri,1,1
27,Montana,1,0
28,Nebraska,1,0
29,Nevada,1,0
30,New Hampshire,1,1
31,New Jersey,1,1
32,New Mexico,1,0
33,New York,1,1
34,North Carolina,1,1
35,North Dakota,1,0
36,Ohio,1,1
37,Oklahoma,1,1
38,Oregon,1,0
39,Pennsylvania,1,1
40,Puerto Rico,0,0
41,Rhode Island,1,1
42,South Carolina,1,1
43,South Dakota,1,0
44,Tennessee,1,1
45,Texas,1,1
46,Utah,1,0
47,Vermont,1,1
48,Virgin Islands,0,0
49,Virginia,1,1
50,Washington,1,0
51,West Virginia,1,1
52,Wisconsin,1,1
53,Wyoming,1,0
54,Africa,0,0
55,Asia,0,0
56,Canada,0,0
57,Central America & West Indies,0,0
58,Europe,0,0
59,Mexico,0,0
60,Oceania,0,0
61,Philippines,0,0
62,South America,0,0
63,U.S. Possessions,0,0
97,Saipan - MP,0,0
98,Guam,0,0
99,American Samoa,0,0
